"command","value_before","value_after","source_section_before","destination_section_after","renderer_settings_supported","cvar_like","action","reason"
"r.DefaultFeature.Bloom","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.DefaultFeature.AmbientOcclusion","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.DefaultFeature.AmbientOcclusionStaticFraction","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.DefaultFeature.MotionBlur","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.DefaultFeature.LensFlare","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.DefaultFeature.AutoExposure.ExtendDefaultLuminanceRange","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.ClearSceneMethod","1","1","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.WireframeCullThreshold","5.000000","5.000000","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.EarlyZPass","2","2","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.EarlyZPassMovable","False","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.EarlyZPassOnlyMaterialMasking","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.TranslucentSortPolicy","0","0","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"TranslucentSortAxis","(X=0.000000,Y=-1.000000,Z=0.000000)","(X=0.000000,Y=-1.000000,Z=0.000000)","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","False","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.SeparateTranslucency","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.CustomDepth","3","3","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.SSS.Checkerboard","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.ReflectionCaptureResolution","32","32","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.ReflectionCapture.EnableEncodedHDR","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.SupportAtmosphericFog","False","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.EnableQuerySkylightCubemapSH","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.ForceQuantizeViewRect","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.UnbuiltPreviewInGame","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.StencilForLODDither","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.PathTracing","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.AntiAliasingMethod","2","2","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.Lumen.Reflections.BilateralFilter","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.TranslucencyReflections.FrontLayer.Enable","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.TranslucencyVolume.HardwareRayTracing","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.RadianceCache.HardwareRayTracing","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.ScreenProbeGather.HardwareRayTracing","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.LumenScene.DirectLighting.HardwareRayTracing","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.LumenScene.Radiosity.HardwareRayTracing","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.ScreenProbeGather.IrradianceFormat","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.LumenScene.GlobalSDF.ClipmapExtent","3000","3000","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.HardwareRayTracing.LightingMode","1","1","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.Lumen.ScreenProbeGather.ScreenTraces.HZBTraversal.RelativeDepthThickness","0.05","0.05","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.HardwareRayTracing.Inline","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.TraceMeshSDFs","0","0","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.Lumen.Reflections.MaxRoughnessToTrace","0.3","0.3","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.Reflections.SmoothBias","0.1","0.1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.ScreenProbeGather.ScreenTraces","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.Reflections.ScreenTraces","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.ScreenProbeGather.Temporal.MaxFramesAccumulated","32","32","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.RayTracing.EnableInEditor","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.RequireSM6","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.SampledLighting","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.Shadows.EnableTwoSidedGeometry","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.Nanite.Mode","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.DynamicGeometryLastRenderTimeUpdateDistance","3000","3000","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.SkyLight","True","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.HybridTranslucencySupport","False","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.EnableRasterRTSceneDepth","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.UseTextureLod","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.RayTracing.ForceAllRayTracingEffects","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.HardwareRayTracing","1","1","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.RayTracing.Shadows","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.RayTracing.Shadows.SamplesPerPixel","4","4","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.RayTracing.Geometry.StaticMeshes.WPO","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.ProgrammableRaster","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.RequireDX12","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.Streaming.MaxPageInstallsPerFrame","32","32","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.Streaming.Imposters","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.MaxPixelsPerEdge","2","2","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.MaxVisibleClusters","4194304","4194304","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.Streaming.NumInitialRootPages","1024","1024","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.ProxyRenderMode","2","2","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Nanite.VSMInvalidateOnLODDelta","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.UseFarShadowCulling","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.CSMCaching","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.Shadow.Virtual.Cache.StaticSeparate","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.Enable","1","1","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.Shadow.Virtual.NonNaniteVSM","True","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.MarkCoarsePagesDirectional","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.MarkCoarsePagesLocal","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.SMRT.RayCountLocal","8","8","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.SMRT.RayCountDirectional","8","8","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Shadow.Virtual.UseReceiverMaskDirectional","True","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FirstPerson.SelfShadow","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FirstPerson.SelfShadow.LightTypes","2","2","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.ScreenProbeGather.ShortRangeAO","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Lumen.DiffuseIndirect.SSAO","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFields.SupportEvenIfHardwareRayTracingSupported","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.AOObjectDistanceField","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.AOGlobalDistanceField.OccupancyRatio","0.31","0.31","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFields.ForceMaxAtlasSize","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFields.ParallelUpdate","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFields.Debug.ForceNumMips","2","2","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFields.BrickAtlasSizeXYInBricks","64","64","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFields.BrickAtlasMaxSizeZ","64","64","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.DistanceFieldAO.ExponentMax","0.5","0.5","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VirtualTextures","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.VirtualTexturedLightmaps","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.vt.FeedbackFactor","16","16","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.NumGatherTasks","6","6","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.Residency.MaxMipMapBias","2","2","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.MaxUploadsPerFrameInEditor","64","64","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.MaxReleasedPerFrame","5","5","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.SyncProduceLockedTiles","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.IOPriority_HighPagePri","4","4","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.EnableCompressCrunch","True","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.VT.AnisotropicFiltering","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.Reflections.Denoiser","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TemporalAA.Upsampling","0","0","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.TSR.AdaptToFSR","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TSR.AdaptToFSR.NonDilatedDepth","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TSR.DefectivePixel.Threshold","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TSR.DefectivePixel.DFTEnable","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TSR.TranslucentMask.Threshold","10000","10000","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TSR.ThinGeometryDetection","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.TSR.Velocity.WeightClampingSampleCount","2","2","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FSR3.Enabled","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FI.DispatchFlag","32","32","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FSR3.UseCustomSolution","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FI.OFOpt","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FI.GSLerpCon","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FI.ShowDebugTearLines","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FI.CaptureDebugUI","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.FidelityFX.FFXPendingResourceRelease","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.CullInstances","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
