command,value,config_file,line,section,baseline_action,notes
r.Lumen.HardwareRayTracing.LightingMode,1,Config/DefaultEngine.ini,64,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.ScreenProbeGather.ScreenTraces.HZBTraversal.RelativeDepthThickness,0.05,Config/DefaultEngine.ini,65,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.HardwareRayTracing.Inline,1,Config/DefaultEngine.ini,66,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.TraceMeshSDFs,0,Config/DefaultEngine.ini,67,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.MaxRoughnessToTrace,0.3,Config/DefaultEngine.ini,70,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.SmoothBias,0.1,Config/DefaultEngine.ini,71,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.ScreenTraces,0,Config/DefaultEngine.ini,72,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.ScreenTraces,0,Config/DefaultEngine.ini,73,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.Temporal.MaxFramesAccumulated,32,Config/DefaultEngine.ini,76,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.RayTracing,False,Config/DefaultEngine.ini,81,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.EnableInEditor,1,Config/DefaultEngine.ini,83,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.RequireSM6,1,Config/DefaultEngine.ini,84,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.SampledLighting,0,Config/DefaultEngine.ini,85,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Shadows.EnableTwoSidedGeometry,0,Config/DefaultEngine.ini,86,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Nanite.Mode,1,Config/DefaultEngine.ini,87,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Geometry.InstancedStaticMeshes.AvoidPoping,1,Config/DefaultEngine.ini,88,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.DynamicGeometryLastRenderTimeUpdateDistance,3000,Config/DefaultEngine.ini,89,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.NaniteShadowMode.HybirdMode.DepthThreshold,10000,Config/DefaultEngine.ini,90,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.SkyLight,True,Config/DefaultEngine.ini,91,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.HybridTranslucencySupport,False,Config/DefaultEngine.ini,92,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.EnableRasterRTSceneDepth,0,Config/DefaultEngine.ini,93,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.UseTextureLod,True,Config/DefaultEngine.ini,94,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.ForceAllRayTracingEffects,0,Config/DefaultEngine.ini,97,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.HardwareRayTracing,1,Config/DefaultEngine.ini,99,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Shadows,True,Config/DefaultEngine.ini,102,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Shadows.SamplesPerPixel,4,Config/DefaultEngine.ini,106,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Geometry.StaticMeshes.WPO,1,Config/DefaultEngine.ini,109,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Nanite,1,Config/DefaultEngine.ini,112,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.ProgrammableRaster,1,Config/DefaultEngine.ini,113,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.RequireDX12,0,Config/DefaultEngine.ini,114,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.Streaming.MaxPageInstallsPerFrame,32,Config/DefaultEngine.ini,115,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.Streaming.Imposters,0,Config/DefaultEngine.ini,116,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.MaxPixelsPerEdge,2,Config/DefaultEngine.ini,117,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.MaxVisibleClusters,4194304,Config/DefaultEngine.ini,118,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.Streaming.NumInitialRootPages,1024,Config/DefaultEngine.ini,119,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.ProxyRenderMode,2,Config/DefaultEngine.ini,120,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.VSMInvalidateOnLODDelta,1,Config/DefaultEngine.ini,121,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.UseFarShadowCulling,0,Config/DefaultEngine.ini,124,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.CSMCaching,False,Config/DefaultEngine.ini,125,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.Cache.StaticSeparate,1,Config/DefaultEngine.ini,126,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.Enable,1,Config/DefaultEngine.ini,127,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.NonNaniteVSM,True,Config/DefaultEngine.ini,128,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.MarkCoarsePagesDirectional,0,Config/DefaultEngine.ini,129,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.MarkCoarsePagesLocal,0,Config/DefaultEngine.ini,130,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.SMRT.RayCountLocal,8,Config/DefaultEngine.ini,131,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.SMRT.RayCountDirectional,8,Config/DefaultEngine.ini,132,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.Virtual.UseReceiverMaskDirectional,True,Config/DefaultEngine.ini,133,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FirstPerson.SelfShadow,1,Config/DefaultEngine.ini,134,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FirstPerson.SelfShadow.LightTypes,2,Config/DefaultEngine.ini,135,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.ShortRangeAO,0,Config/DefaultEngine.ini,138,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.DiffuseIndirect.SSAO,1,Config/DefaultEngine.ini,139,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFields.SupportEvenIfHardwareRayTracingSupported,1,Config/DefaultEngine.ini,142,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.AOObjectDistanceField,0,Config/DefaultEngine.ini,143,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.AOGlobalDistanceField.OccupancyRatio,0.31,Config/DefaultEngine.ini,144,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFields.ForceMaxAtlasSize,1,Config/DefaultEngine.ini,145,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFields.ParallelUpdate,1,Config/DefaultEngine.ini,146,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFields.Debug.ForceNumMips,2,Config/DefaultEngine.ini,147,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFields.BrickAtlasSizeXYInBricks,64,Config/DefaultEngine.ini,148,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFields.BrickAtlasMaxSizeZ,64,Config/DefaultEngine.ini,149,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DistanceFieldAO.ExponentMax,0.5,Config/DefaultEngine.ini,150,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VirtualTextures,True,Config/DefaultEngine.ini,153,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VirtualTexturedLightmaps,True,Config/DefaultEngine.ini,154,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.vt.FeedbackFactor,16,Config/DefaultEngine.ini,155,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.NumGatherTasks,6,Config/DefaultEngine.ini,156,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.Residency.MaxMipMapBias,2,Config/DefaultEngine.ini,157,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.MaxUploadsPerFrameInEditor,64,Config/DefaultEngine.ini,158,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.MaxReleasedPerFrame,5,Config/DefaultEngine.ini,159,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.SyncProduceLockedTiles,0,Config/DefaultEngine.ini,160,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.IOPriority_HighPagePri,4,Config/DefaultEngine.ini,161,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.EnableCompressCrunch,True,Config/DefaultEngine.ini,162,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.VT.AnisotropicFiltering,True,Config/DefaultEngine.ini,163,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Reflections.Denoiser,0,Config/DefaultEngine.ini,166,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TemporalAA.Upsampling,0,Config/DefaultEngine.ini,167,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.AdaptToFSR,1,Config/DefaultEngine.ini,168,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.AdaptToFSR.NonDilatedDepth,1,Config/DefaultEngine.ini,169,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.DefectivePixel.Threshold,1,Config/DefaultEngine.ini,170,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.DefectivePixel.DFTEnable,1,Config/DefaultEngine.ini,171,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.TranslucentMask.Threshold,10000,Config/DefaultEngine.ini,172,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.ThinGeometryDetection,1,Config/DefaultEngine.ini,173,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TSR.Velocity.WeightClampingSampleCount,2,Config/DefaultEngine.ini,174,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FSR3.Enabled,0,Config/DefaultEngine.ini,175,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FI.DispatchFlag,32,Config/DefaultEngine.ini,176,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FSR3.UseCustomSolution,1,Config/DefaultEngine.ini,177,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FI.OFOpt,1,Config/DefaultEngine.ini,178,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FI.GSLerpCon,1,Config/DefaultEngine.ini,179,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FI.ShowDebugTearLines,0,Config/DefaultEngine.ini,180,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FI.CaptureDebugUI,0,Config/DefaultEngine.ini,181,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.FidelityFX.FFXPendingResourceRelease,1,Config/DefaultEngine.ini,182,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.CullInstances,0,Config/DefaultEngine.ini,183,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.HairStrands.Voxelization.Virtual.VoxelPageCountPerDim,5,Config/DefaultEngine.ini,184,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.HairStrands.ComposeAfterTranslucency,1,Config/DefaultEngine.ini,185,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.HairStrands.RectLightingOptim,1,Config/DefaultEngine.ini,186,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.HairStrands.Tile,1,Config/DefaultEngine.ini,187,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.HairStrands.Visibility.WriteVelocityCoverageThreshold,0.9,Config/DefaultEngine.ini,188,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.PostProcessing.PostProcessingMoveDOFAfterUpscaling,0,Config/DefaultEngine.ini,194,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Mobile.TonemapperFilm,1,Config/DefaultEngine.ini,197,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.MobileHDR,True,Config/DefaultEngine.ini,198,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.MobileNumDynamicPointLights,4,Config/DefaultEngine.ini,199,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.MobileDynamicPointLightsUseStaticBranch,True,Config/DefaultEngine.ini,200,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Mobile.EnableStaticAndCSMShadowReceivers,False,Config/DefaultEngine.ini,201,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Mobile.AllowDistanceFieldShadows,False,Config/DefaultEngine.ini,202,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Mobile.AllowMovableDirectionalLights,True,Config/DefaultEngine.ini,203,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Mobile.DisableVertexFog,False,Config/DefaultEngine.ini,204,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.GPUSkin.Support16BitBoneIndex,True,Config/DefaultEngine.ini,207,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.GPUSkin.UnlimitedBoneInfluences,True,Config/DefaultEngine.ini,208,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.GPUSkin.UnlimitedBoneInfluencesThreshold,4,Config/DefaultEngine.ini,209,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SkinCache.CompileShaders,True,Config/DefaultEngine.ini,210,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
r.SkinCache.Allow,1,Config/DefaultEngine.ini,211,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
