command,value,config_file,line,section,baseline_action,notes
r.RayTracing.ForceAllRayTracingEffects,0,Config/DefaultEngine.ini,97,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.HardwareRayTracing,1,Config/DefaultEngine.ini,99,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Shadows,True,Config/DefaultEngine.ini,102,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Shadows.SamplesPerPixel,4,Config/DefaultEngine.ini,106,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.Geometry.StaticMeshes.WPO,1,Config/DefaultEngine.ini,109,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.DistanceFields.SupportEvenIfHardwareRayTracingSupported,1,Config/DefaultEngine.ini,142,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing.RayTracingProxies.ProjectEnabled,True,Config/DefaultEngine.ini,305,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.RayTracing,True,Config/Windows/WindowsEngine.ini,65,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.SkinCache.CompileShaders,True,Config/DefaultEngine.ini,210,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
r.SkinCache.Allow,1,Config/DefaultEngine.ini,211,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
r.SkinCache.Mode,1,Config/DefaultEngine.ini,212,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
r.SkinCache.GSEnableCloth,2,Config/DefaultEngine.ini,213,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
r.SkinCache.DefaultBehavior,0,Config/DefaultEngine.ini,214,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
r.SkinCache.BlendUsingVertexColorForRecomputeTangents,2,Config/DefaultEngine.ini,215,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Skin Cache is required when ray tracing is preserved for the baseline.
