"command","value","kind","type","default","prefix","module","platform_text","runtime_editable","startup_only","in_default_engine","in_scalability","scalability_group","scalability_sections","current_project_values","test_method","safe_test_values","config_target","test_priority","skip_or_review_reason","baseline_fps","test_fps","fps_delta_percent","quality_impact","recommendation","project_setting_value","notes","usage","help","flags","run_id","map","resolution","avg_gpu_ms","avg_renderthread_ms","avg_gamethread_ms","frames","duration_seconds","hitch_count","profile_csv","fpschart_log","fpschart_html","launch_notes","comparison_method","paired_baseline_fpschart_log","paired_test_fpschart_log","paired_baseline_avg_gpu_ms","paired_test_avg_gpu_ms"
"r.Lumen.TranslucencyVolume.Enable","0","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","true","true","GlobalIlluminationQuality","","runtime_scalability_candidate","0;1","DefaultScalability.ini GlobalIlluminationQuality lower tiers","P0","","126.05","127.23","0.94","Medium/High: disables Lumen translucency volume lighting. Can improve cost in translucent/foggy scenes but may reduce GI quality on translucent volumes.","lumen_translucency_tradeoff_candidate_visual_review_required","0","Paired A/B same-process result on <BenchmarkMap>: baseline 126.05 FPS, test 127.23 FPS, delta 0.94%. Baseline GPU 4.52 ms, test GPU 4.63 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.TranslucencyVolume.Enable=0","Controls Lumen translucency volume lighting.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Lumen_TranslucencyVolume_Enable_0_20260616_154422","<BenchmarkMap>","1280x720","4.63","7.69","6.31","280","2.20","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_154423).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.45.13\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.45.13\<BenchmarkMap>-2026.06.16-15.45.13-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.TranslucencyVolume.Enable=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_TranslucencyVolume_Enable_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.45.10\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.45.13\<BenchmarkMap>-FPS-WindowsEditor.log","4.52","4.63"
"r.Lumen.TranslucencyVolume.GridPixelSize","64","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","true","true","GlobalIlluminationQuality","","runtime_scalability_candidate","0;1;16;32;64","DefaultScalability.ini GlobalIlluminationQuality lower tiers","P0","","126.34","126.29","-0.04","Medium: increases Lumen translucency grid cell size. Can reduce cost but lowers translucency lighting resolution.","neutral_paired_ab_no_material_gain","64","Paired A/B same-process result on <BenchmarkMap>: baseline 126.34 FPS, test 126.29 FPS, delta -0.04%. Baseline GPU 4.49 ms, test GPU 4.60 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.TranslucencyVolume.GridPixelSize=64","Size of a cell in the translucency grid in pixels.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Lumen_TranslucencyVolume_GridPixelSize_64_20260616_154523","<BenchmarkMap>","1280x720","4.60","7.77","6.22","280","2.22","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_154523).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.46.14\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.46.14\<BenchmarkMap>-2026.06.16-15.46.14-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.TranslucencyVolume.GridPixelSize=64 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_TranslucencyVolume_GridPixelSize_64.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.46.11\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.46.14\<BenchmarkMap>-FPS-WindowsEditor.log","4.49","4.60"
"r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal","0","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","true","true","GlobalIlluminationQuality","","runtime_scalability_candidate","0;1","DefaultScalability.ini GlobalIlluminationQuality lower tiers","P0","","132.62","124.62","-6.03","Low/Medium: uses scalar AO instead of bent normal for Lumen short-range AO. Slightly faster, but can reduce specular occlusion quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","0","Paired A/B same-process result on <BenchmarkMap>: baseline 132.62 FPS, test 124.62 FPS, delta -6.03%. Baseline GPU 3.95 ms, test GPU 4.20 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal=0","Whether to use bent normal or scalar AO. Scalar AO is slightly faster; bent normal improves specular occlusion.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Lumen_ScreenProbeGather_ShortRangeAO_BentNormal_0_20260616_154623","<BenchmarkMap>","1280x720","4.20","7.90","5.65","280","2.25","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_154623).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.47.13\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.47.13\<BenchmarkMap>-2026.06.16-15.47.13-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_ScreenProbeGather_ShortRangeAO_BentNormal_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.47.11\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.47.13\<BenchmarkMap>-FPS-WindowsEditor.log","3.95","4.20"
"r.AmbientOcclusionRadiusScale","0.5","CVar","float","","r","GI","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;0.5;1;1.5","DefaultScalability.ini PostProcessQuality lower tiers","P0","","129.21","130.67","1.13","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","ao_quality_tradeoff_candidate_visual_review_required","0.5","Paired A/B same-process result on <BenchmarkMap>: baseline 129.21 FPS, test 130.67 FPS, delta 1.13%. Baseline GPU 4.20 ms, test GPU 4.05 ms. Treat as quality/performance tradeoff until visual review.","r.AmbientOcclusionRadiusScale=0.5","Scales ambient occlusion radius.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_AmbientOcclusionRadiusScale_0_5_20260616_154723","<BenchmarkMap>","1280x720","4.05","7.49","6.14","280","2.14","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_154723).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.48.14\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.48.14\<BenchmarkMap>-2026.06.16-15.48.14-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.AmbientOcclusionRadiusScale=0.5 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_AmbientOcclusionRadiusScale_0_5.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.48.11\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.48.14\<BenchmarkMap>-FPS-WindowsEditor.log","4.20","4.05"
"r.SSS.SampleSet","1","CVar","int32","","r","后处理/SSS","Windows D3D12 SM6 <GPU>","true","false","false","true","true","EffectsQuality","","runtime_scalability_candidate","0;1;2;4","DefaultScalability.ini EffectsQuality lower tiers","P0","","119.43","120.30","0.73","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","sss_quality_tradeoff_candidate_visual_review_required","1","Paired A/B same-process result on <BenchmarkMap>: baseline 119.43 FPS, test 120.30 FPS, delta 0.73%. Baseline GPU 5.15 ms, test GPU 5.31 ms. Treat as quality/performance tradeoff until visual review.","r.SSS.SampleSet=1","Defines how many samples are used for separable screen-space subsurface scattering.","ECVF_RenderThreadSafe | ECVF_Scalability","ab_r_SSS_SampleSet_1_20260616_154823","<BenchmarkMap>","1280x720","5.31","8.19","6.05","280","2.33","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_154823).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.49.15\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.49.15\<BenchmarkMap>-2026.06.16-15.49.15-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.SSS.SampleSet=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_SSS_SampleSet_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.49.12\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.49.15\<BenchmarkMap>-FPS-WindowsEditor.log","5.15","5.31"
"r.AmbientOcclusionMipLevelFactor","0.5","CVar","float","","r","GI","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;0.25;0.5;0.75","DefaultScalability.ini PostProcessQuality lower tiers","P0","","124.46","120.68","-3.04","Medium: changes AO mip selection per step. Can reduce AO cost/detail but may soften occlusion.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","0.5","Paired A/B same-process result on <BenchmarkMap>: baseline 124.46 FPS, test 120.68 FPS, delta -3.04%. Baseline GPU 4.49 ms, test GPU 4.73 ms. Treat as quality/performance tradeoff until visual review.","r.AmbientOcclusionMipLevelFactor=0.5","Controls mipmap level according to the SSAO step id.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_AmbientOcclusionMipLevelFactor_0_5_20260616_155010","<BenchmarkMap>","1280x720","4.73","8.14","5.99","280","2.32","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155010).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.51.01\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.51.01\<BenchmarkMap>-2026.06.16-15.51.01-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.AmbientOcclusionMipLevelFactor=0.5 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_AmbientOcclusionMipLevelFactor_0_5.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.50.58\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.51.01\<BenchmarkMap>-FPS-WindowsEditor.log","4.49","4.73"
"r.SSS.Scale","0.5","CVar","float","","r","后处理/SSS","Windows D3D12 SM6 <GPU>","true","false","false","true","true","EffectsQuality","","runtime_scalability_candidate","0;0.5;1;1.5","DefaultScalability.ini EffectsQuality lower tiers","P0","","119.81","124.30","3.75","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","sss_quality_tradeoff_candidate_visual_review_required","0.5","Paired A/B same-process result on <BenchmarkMap>: baseline 119.81 FPS, test 124.30 FPS, delta 3.75%. Baseline GPU 4.47 ms, test GPU 4.29 ms. Treat as quality/performance tradeoff until visual review.","r.SSS.Scale=0.5","Affects the Screen space Separable subsurface scattering pass.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_SSS_Scale_0_5_20260616_155110","<BenchmarkMap>","1280x720","4.29","7.89","6.09","280","2.25","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155111).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.52.01\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.52.01\<BenchmarkMap>-2026.06.16-15.52.01-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.SSS.Scale=0.5 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_SSS_Scale_0_5.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.51.58\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.52.01\<BenchmarkMap>-FPS-WindowsEditor.log","4.47","4.29"
"r.Bloom.ScreenPercentage","50","CVar","float","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;50;100;150","DefaultScalability.ini PostProcessQuality lower tiers","P0","","121.31","117.69","-2.98","Medium: lowers bloom convolution resolution. Can reduce bloom cost but may soften or destabilize large bloom highlights.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","50","Paired A/B same-process result on <BenchmarkMap>: baseline 121.31 FPS, test 117.69 FPS, delta -2.98%. Baseline GPU 5.15 ms, test GPU 5.13 ms. Treat as quality/performance tradeoff until visual review.","r.Bloom.ScreenPercentage=50","Controls the axis resolution of the FFT convolution for bloom.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Bloom_ScreenPercentage_50_20260616_155211","<BenchmarkMap>","1280x720","5.13","8.35","6.20","280","2.38","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155211).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.53.02\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.53.02\<BenchmarkMap>-2026.06.16-15.53.02-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Bloom.ScreenPercentage=50 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Bloom_ScreenPercentage_50.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.52.59\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.53.02\<BenchmarkMap>-FPS-WindowsEditor.log","5.15","5.13"
"r.DOF.Gather.ResolutionDivisor","2","CVar","int32","","r","后处理/DOF","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1;2;4","DefaultScalability.ini PostProcessQuality lower tiers","P0","","118.76","114.24","-3.81","Medium: lowers DOF gather resolution. Can improve DOF cost but may make blur/chroma bokeh less stable.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","2","Paired A/B same-process result on <BenchmarkMap>: baseline 118.76 FPS, test 114.24 FPS, delta -3.81%. Baseline GPU 4.72 ms, test GPU 4.74 ms. Treat as quality/performance tradeoff until visual review.","r.DOF.Gather.ResolutionDivisor=2","Selects the resolution divisor of the gather pass.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_DOF_Gather_ResolutionDivisor_2_20260616_155314","<BenchmarkMap>","1280x720","4.74","8.60","6.13","280","2.45","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155314).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.54.05\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.54.05\<BenchmarkMap>-2026.06.16-15.54.05-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.DOF.Gather.ResolutionDivisor=2 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_DOF_Gather_ResolutionDivisor_2.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.54.02\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.54.05\<BenchmarkMap>-FPS-WindowsEditor.log","4.72","4.74"
"r.DOF.Recombine.Quality","1","CVar","int32","","r","后处理/DOF","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1;2;4","DefaultScalability.ini PostProcessQuality lower tiers","P0","","116.30","111.90","-3.78","Medium: lowers DOF recombine quality. Can reduce cost but may alter slight out-of-focus recombine quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","1","Paired A/B same-process result on <BenchmarkMap>: baseline 116.30 FPS, test 111.90 FPS, delta -3.78%. Baseline GPU 4.34 ms, test GPU 4.33 ms. Treat as quality/performance tradeoff until visual review.","r.DOF.Recombine.Quality=1","Configures the quality of the recombine pass.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_DOF_Recombine_Quality_1_20260616_155414","<BenchmarkMap>","1280x720","4.33","8.78","5.41","280","2.50","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155414).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.55.06\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.55.06\<BenchmarkMap>-2026.06.16-15.55.06-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.DOF.Recombine.Quality=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_DOF_Recombine_Quality_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.55.03\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.55.06\<BenchmarkMap>-FPS-WindowsEditor.log","4.34","4.33"
"r.MotionBlur.HalfResGather","1","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1","DefaultScalability.ini PostProcessQuality lower tiers","P0","","114.46","115.00","0.47","Low/Medium: allows motion blur gather at half resolution under heavy motion. Can reduce cost during motion but may soften blur quality.","neutral_paired_ab_no_material_gain","1","Paired A/B same-process result on <BenchmarkMap>: baseline 114.46 FPS, test 115.00 FPS, delta 0.47%. Baseline GPU 5.38 ms, test GPU 5.19 ms. Treat as quality/performance tradeoff until visual review.","r.MotionBlur.HalfResGather=1","Whether to do motion blur filter dynamically at half res under heavy motion.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_MotionBlur_HalfResGather_1_20260616_155517","<BenchmarkMap>","1280x720","5.19","8.69","5.58","280","2.43","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155517).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.56.09\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.56.09\<BenchmarkMap>-2026.06.16-15.56.09-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.MotionBlur.HalfResGather=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_MotionBlur_HalfResGather_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.56.06\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.56.09\<BenchmarkMap>-FPS-WindowsEditor.log","5.38","5.19"
"r.Shadow.Virtual.SMRT.RayCountDirectional","1","CVar","int32","","r","Virtual Shadow Map","Windows D3D12 SM6 <GPU>","true","false","false","true","true","ShadowQuality","","runtime_scalability_candidate","0;1;3;7;14","DefaultScalability.ini ShadowQuality lower tiers","P0","","114.23","112.01","-1.94","Medium/High: reduces SMRT ray count for directional-light virtual shadows. Can improve soft shadow cost but may increase noise or reduce penumbra quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","1","Paired A/B same-process result on <BenchmarkMap>: baseline 114.23 FPS, test 112.01 FPS, delta -1.94%. Baseline GPU 4.16 ms, test GPU 4.14 ms. Treat as quality/performance tradeoff until visual review.","r.Shadow.Virtual.SMRT.RayCountDirectional=1","Ray count for shadow map tracing of directional lights. 0 = disabled.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Shadow_Virtual_SMRT_RayCountDirectional_1_20260616_155821","<BenchmarkMap>","1280x720","4.14","8.74","6.24","280","2.50","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155821).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.59.13\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.59.13\<BenchmarkMap>-2026.06.16-15.59.13-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Shadow.Virtual.SMRT.RayCountDirectional=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Shadow_Virtual_SMRT_RayCountDirectional_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.59.10\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-15.59.13\<BenchmarkMap>-FPS-WindowsEditor.log","4.16","4.14"
"r.Shadow.Virtual.SMRT.SamplesPerRayDirectional","4","CVar","int32","","r","Virtual Shadow Map","Windows D3D12 SM6 <GPU>","true","false","false","true","true","ShadowQuality","","runtime_scalability_candidate","0;1;4;8;16","DefaultScalability.ini ShadowQuality lower tiers","P0","","109.06","102.76","-5.78","Medium: reduces samples per SMRT ray for directional-light virtual shadows. Can improve cost but may reduce soft shadow stability.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","4","Paired A/B same-process result on <BenchmarkMap>: baseline 109.06 FPS, test 102.76 FPS, delta -5.78%. Baseline GPU 5.47 ms, test GPU 5.50 ms. Treat as quality/performance tradeoff until visual review.","r.Shadow.Virtual.SMRT.SamplesPerRayDirectional=4","Shadow map samples per ray for directional lights.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Shadow_Virtual_SMRT_SamplesPerRayDirectional_4_20260616_155925","<BenchmarkMap>","1280x720","5.50","9.72","6.01","280","2.72","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_155925).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.00.16\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.00.16\<BenchmarkMap>-2026.06.16-16.00.16-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Shadow.Virtual.SMRT.SamplesPerRayDirectional=4 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Shadow_Virtual_SMRT_SamplesPerRayDirectional_4.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.00.13\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.00.16\<BenchmarkMap>-FPS-WindowsEditor.log","5.47","5.50"
"r.Shadow.Virtual.ResolutionLodBiasLocalMoving","1","CVar","float","","r","Virtual Shadow Map","Windows D3D12 SM6 <GPU>","true","false","false","true","true","ShadowQuality","","runtime_scalability_candidate","0;0.5;1;1.5","DefaultScalability.ini ShadowQuality lower tiers","P0","","107.74","108.47","0.68","Medium: halves moving local-light VSM resolution relative to default. Can reduce moving local shadow cost but may soften or alias moving-light shadows.","vsm_resolution_tradeoff_candidate_visual_review_required","1","Paired A/B same-process result on <BenchmarkMap>: baseline 107.74 FPS, test 108.47 FPS, delta 0.68%. Baseline GPU 4.45 ms, test GPU 4.43 ms. Treat as quality/performance tradeoff until visual review.","r.Shadow.Virtual.ResolutionLodBiasLocalMoving=1","Bias applied to LOD calculations for moving local lights. 1.0 halves resolution.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Shadow_Virtual_ResolutionLodBiasLocalMoving_1_20260616_160028","<BenchmarkMap>","1280x720","4.43","9.21","5.59","280","2.58","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_160028).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.01.19\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.01.19\<BenchmarkMap>-2026.06.16-16.01.19-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Shadow.Virtual.ResolutionLodBiasLocalMoving=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Shadow_Virtual_ResolutionLodBiasLocalMoving_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.01.16\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.01.19\<BenchmarkMap>-FPS-WindowsEditor.log","4.45","4.43"
