command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,current_project_values,test_method,safe_test_values,config_target,test_priority,skip_or_review_reason,baseline_fps,test_fps,fps_delta_percent,quality_impact,recommendation,project_setting_value,notes,usage,help,flags
D3D12.TexturePoolOnlyAccountStreamableTexture,CVar,string,,D3D12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.TexturePoolOnlyAccountStreamableTexture=<值>` / `D3D12.TexturePoolOnlyAccountStreamableTexture <值>` 或 INI 中配置,Texture streaming pool size only account streamable texture .\n,ECVF_ReadOnly
D3D12.TrackAllAllocations,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.TrackAllAllocations=<值>` / `D3D12.TrackAllAllocations <值>` 或 INI 中配置,Controls whether D3D12 RHI should track all allocation information (default = off).,ECVF_ReadOnly
d3d12.UploadHeap.BigBlock.MaxAllocationSize,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.UploadHeap.BigBlock.MaxAllocationSize=<值>` / `d3d12.UploadHeap.BigBlock.MaxAllocationSize <值>` 或 INI 中配置,Maximum allocation size on the big block allocator for upload memory,ECVF_ReadOnly
d3d12.UploadHeap.BigBlock.PoolSize,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.UploadHeap.BigBlock.PoolSize=<值>` / `d3d12.UploadHeap.BigBlock.PoolSize <值>` 或 INI 中配置,Pool size for the upload memory big block allocator,ECVF_ReadOnly
d3d12.UploadHeap.OverFlowPoolsCount,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.UploadHeap.OverFlowPoolsCount=<值>` / `d3d12.UploadHeap.OverFlowPoolsCount <值>` 或 INI 中配置,Max OverFlow Pools count to pre-allocate,ECVF_ReadOnly
d3d12.UploadHeap.PoolAllocationStrategy,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.UploadHeap.PoolAllocationStrategy=<值>` / `d3d12.UploadHeap.PoolAllocationStrategy <值>` 或 INI 中配置,Pool allocation strategy,ECVF_ReadOnly
d3d12.UploadHeap.SmallBlock.MaxAllocationSize,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.UploadHeap.SmallBlock.MaxAllocationSize=<值>` / `d3d12.UploadHeap.SmallBlock.MaxAllocationSize <值>` 或 INI 中配置,Maximum allocation size on the small block allocator for upload memory,ECVF_ReadOnly
d3d12.UploadHeap.SmallBlock.PoolSize,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.UploadHeap.SmallBlock.PoolSize=<值>` / `d3d12.UploadHeap.SmallBlock.PoolSize <值>` 或 INI 中配置,Pool size for the upload memory small block allocator,ECVF_ReadOnly
d3d12.VRAMBufferPoolDefrag,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.VRAMBufferPoolDefrag=<值>` / `d3d12.VRAMBufferPoolDefrag <值>` 或 INI 中配置,Defrag the VRAM buffer pool,ECVF_ReadOnly
d3d12.VRAMBufferPoolDefrag.MaxCopySizePerFrame,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.VRAMBufferPoolDefrag.MaxCopySizePerFrame=<值>` / `d3d12.VRAMBufferPoolDefrag.MaxCopySizePerFrame <值>` 或 INI 中配置,Max amount of data to copy during defragmentation in a single frame (default 32MB),ECVF_ReadOnly
d3d12.VRAMTexturePoolDefrag,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.VRAMTexturePoolDefrag=<值>` / `d3d12.VRAMTexturePoolDefrag <值>` 或 INI 中配置,Defrag the VRAM Texture pool (enabled by default),ECVF_ReadOnly
d3d12.VRAMTexturePoolDefrag.MaxCopySizePerFrame,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.VRAMTexturePoolDefrag.MaxCopySizePerFrame=<值>` / `d3d12.VRAMTexturePoolDefrag.MaxCopySizePerFrame <值>` 或 INI 中配置,Max amount of data to copy during defragmentation in a single frame (default 32MB),ECVF_ReadOnly
D3D12.ZeroBufferSizeInMB,CVar,int32,4,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,0;1;2;4;8,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.ZeroBufferSizeInMB=<值>` / `D3D12.ZeroBufferSizeInMB <值>` 或 INI 中配置,The D3D12 RHI needs a static allocation of zeroes to use when streaming textures asynchronously. It should be large enough to support the largest mipmap you need to stream. The default is 4MB.,ECVF_ReadOnly
fx.Budget.HistoryFrames,CVar,string,,fx,渲染管线,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.Budget.HistoryFrames=<值>` / `fx.Budget.HistoryFrames <值>` 或 INI 中配置,Number of frames the global FX budget tracking will hold to work out it's average frame time.,ECVF_Default | ECVF_ReadOnly
fx.EnableNiagaraRuntimeCycleCounts,CVar,string,,fx,通用,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.EnableNiagaraRuntimeCycleCounts=<值>` / `fx.EnableNiagaraRuntimeCycleCounts <值>` 或 INI 中配置,Toggle for runtime cylce counts tracking Niagara's frame time. \n,ECVF_ReadOnly
fx.GPUSimulationDynTextureSizeXY,CVar,string,,fx,材质,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.GPUSimulationDynTextureSizeXY=<值>` / `fx.GPUSimulationDynTextureSizeXY <值>` 或 INI 中配置,GPU Particle simulation texture XY dimension when dynamic resizing is enabled (default=16),ECVF_ReadOnly
fx.Niagara.DigestGraphCacheSize,CVar,string,,fx,通用,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.Niagara.DigestGraphCacheSize=<值>` / `fx.Niagara.DigestGraphCacheSize <值>` 或 INI 中配置,Defines the size of the cache for digested Niagara graphs.,ECVF_ReadOnly
fx.Niagara.GraphDataCacheSize,CVar,string,,fx,通用,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.Niagara.GraphDataCacheSize=<值>` / `fx.Niagara.GraphDataCacheSize <值>` 或 INI 中配置,Maximum number of elements to store within the GraphDataCache.,ECVF_ReadOnly
fx.Niagara.VertexFactoryExport.EnabledMode,CVar,int32,1,fx,光线追踪,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.Niagara.VertexFactoryExport.EnabledMode=<值>` / `fx.Niagara.VertexFactoryExport.EnabledMode <值>` 或 INI 中配置,Determins compilation mode for vertex factory export shader permutations\n,ECVF_ReadOnly | ECVF_RenderThreadSafe
fx.NiagaraRuntimeCycleHistorySize,CVar,string,,fx,通用,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.NiagaraRuntimeCycleHistorySize=<值>` / `fx.NiagaraRuntimeCycleHistorySize <值>` 或 INI 中配置,How many frames history to use in Niagara's runtime performance trackers. \n,ECVF_ReadOnly
fx.NumFramesBetweenRuntimePerfSamples,CVar,string,,fx,渲染管线,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.NumFramesBetweenRuntimePerfSamples=<值>` / `fx.NumFramesBetweenRuntimePerfSamples <值>` 或 INI 中配置,How many frames between each sample of Niagara runtime perf. \n,ECVF_ReadOnly
fx.PruneEmittersOnCookByDetailMode,CVar,float,0,fx,材质,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`fx.PruneEmittersOnCookByDetailMode=<值>` / `fx.PruneEmittersOnCookByDetailMode <值>` 或 INI 中配置,Whether to eliminate all emitters that don't match the detail mode.\n,ECVF_ReadOnly
Metal.Bindless.ResourceDescriptorHeapSize,CVar,string,,Metal,后处理,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`Metal.Bindless.ResourceDescriptorHeapSize=<值>` / `Metal.Bindless.ResourceDescriptorHeapSize <值>` 或 INI 中配置,Bindless resource descriptor heap size,ECVF_ReadOnly
Metal.Bindless.SamplerDescriptorHeapSize,CVar,string,,Metal,后处理,All,false,true,false,false,false,,,startup_restart_required,,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`Metal.Bindless.SamplerDescriptorHeapSize=<值>` / `Metal.Bindless.SamplerDescriptorHeapSize <值>` 或 INI 中配置,Bindless sampler descriptor heap size,ECVF_ReadOnly
MetalRHI.UseInterruptThread,CVar,int32,1,MetalRHI,RHI/底层渲染接口,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`MetalRHI.UseInterruptThread=<值>` / `MetalRHI.UseInterruptThread <值>` 或 INI 中配置,Whether to enable the Metal RHI's interrupt thread.\n,ECVF_ReadOnly
MetalRHI.UseSubmissionThread,CVar,int32,1,MetalRHI,后处理,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`MetalRHI.UseSubmissionThread=<值>` / `MetalRHI.UseSubmissionThread <值>` 或 INI 中配置,Whether to enable the Metal RHI's submission thread.\n,ECVF_ReadOnly
nDisplay.render.softsync.BarrierSyncOnly,CVar,int32,0,nDisplay,通用,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`nDisplay.render.softsync.BarrierSyncOnly=<值>` / `nDisplay.render.softsync.BarrierSyncOnly <值>` 或 INI 中配置,"Simple synchronization, ethernet barrier only (0 = disabled)",ECVF_ReadOnly
nDisplay.render.softsync.CustomRefreshRate,CVar,float,60.f,nDisplay,通用,All,false,true,false,false,false,,,startup_restart_required,0;30;60;90,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`nDisplay.render.softsync.CustomRefreshRate=<值>` / `nDisplay.render.softsync.CustomRefreshRate <值>` 或 INI 中配置,Custom refresh rate for synchronization math (Hz),ECVF_ReadOnly
nDisplay.render.softsync.RisePresentationThreadPriority,CVar,int32,0,nDisplay,通用,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`nDisplay.render.softsync.RisePresentationThreadPriority=<值>` / `nDisplay.render.softsync.RisePresentationThreadPriority <值>` 或 INI 中配置,Set higher priority for the presentation thread (0 = disabled),ECVF_ReadOnly
nDisplay.render.softsync.UseCustomRefreshRate,CVar,int32,0,nDisplay,通用,All,false,true,false,false,false,,,startup_restart_required,0;1,Manual source/config review required,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`nDisplay.render.softsync.UseCustomRefreshRate=<值>` / `nDisplay.render.softsync.UseCustomRefreshRate <值>` 或 INI 中配置,Force custom refresh rate to be used in synchronization math (0 = disabled),ECVF_ReadOnly
