command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,current_project_values,test_method,safe_test_values,config_target,test_priority,skip_or_review_reason,baseline_fps,test_fps,fps_delta_percent,quality_impact,recommendation,project_setting_value,notes,usage,help,flags
D3D12.InsertOuterOcclusionQuery,CVar,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.InsertOuterOcclusionQuery=<值>` / `D3D12.InsertOuterOcclusionQuery <值>` 或 INI 中配置,"If true, enable a dummy outer occlusion query around occlusion query batches. Can help performance on some GPU architectures",ECVF_Default
d3d12.LogBarriers,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.LogBarriers=<值>` / `d3d12.LogBarriers <值>` 或 INI 中配置,Whether to log barriers. Use d3d12.LogBarriersResourceFilter to filter by resource name.\n,
d3d12.LogBarriersResourceFilter,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.LogBarriersResourceFilter=<值>` / `d3d12.LogBarriersResourceFilter <值>` 或 INI 中配置,Which resources to log barriers for. Set to empty to log everything.,
D3D12.LogViewportEvents,CVar,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.LogViewportEvents=<值>` / `D3D12.LogViewportEvents <值>` 或 INI 中配置,Log all the viewport events.,ECVF_RenderThreadSafe
D3D12.RayTracing.SerializeScene,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.RayTracing.SerializeScene`（可带参数，具体见帮助说明）,Serialize Ray Tracing Scene to disk.,
D3D12.ResidencyDebugBudgetMB,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.ResidencyDebugBudgetMB=<值>` / `D3D12.ResidencyDebugBudgetMB <值>` 或 INI 中配置,"When >= 0, overrides the local memory budget for the residency manager (in MB).\n",ECVF_Default
D3D12.TrackedReleasedAllocationFrameRetention,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.TrackedReleasedAllocationFrameRetention=<值>` / `D3D12.TrackedReleasedAllocationFrameRetention <值>` 或 INI 中配置,Amount of frames for which we keep freed allocation data around when resource tracking is enabled,ECVF_RenderThreadSafe
D3D12.UnsafeCrossGPUTransfers,CVar,string,,D3D12,后处理,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.UnsafeCrossGPUTransfers=<值>` / `D3D12.UnsafeCrossGPUTransfers <值>` 或 INI 中配置,"Disables cross GPU synchronization correctness, for a gain in performance (Default: true).",ECVF_RenderThreadSafe
DC.ChromaKey.AllowNanite,CVar,string,,DC,Nanite,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`DC.ChromaKey.AllowNanite=<值>` / `DC.ChromaKey.AllowNanite <值>` 或 INI 中配置,0 disables Nanite when rendering custom chroma keys. Otherwise uses default showflag.,ECVF_RenderThreadSafe
DC.Lightcards.AllowNanite,CVar,string,,DC,Nanite,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`DC.Lightcards.AllowNanite=<值>` / `DC.Lightcards.AllowNanite <值>` 或 INI 中配置,0 disables Nanite when rendering lightcards. Otherwise uses default showflag.,ECVF_RenderThreadSafe
DC.LumenPerView,CVar,string,,DC,Lumen,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`DC.LumenPerView=<值>` / `DC.LumenPerView <值>` 或 INI 中配置,Separate Lumen scene cache allocated for each View. (Default = 1)\n,ECVF_RenderThreadSafe
DC.MultiGPU,CVar,string,,DC,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`DC.MultiGPU=<值>` / `DC.MultiGPU <值>` 或 INI 中配置,Enable MultiGPU for Display Cluster rendering.  Useful to disable for debugging.  (Default = 1),ECVF_Default
DC.Stats.Frame,CVar,string,,DC,渲染调试/可视化,All,true,false,false,false,false,,,manual_or_excluded_diagnostic,,Runtime console or user setting if adopted,P3,Diagnostic/debug/profiling command; do not include in automated FPS sweep.,,,,untested,untested,,,`DC.Stats.Frame=<值>` / `DC.Stats.Frame <值>` 或 INI 中配置,"Show frame stats (timecode, frame number) in a repeating pattern.",ECVF_RenderThreadSafe
DumpDetailedPrimitives,Command,string,,DumpDetailedPrimitives,材质,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`DumpDetailedPrimitives`（可带参数，具体见帮助说明）,Writes the detailed information of all primitives tracked by the PrimitiveDebugger to a CSV file,ECVF_Default
DumpPrimitiveDrawCalls,Command,string,,DumpPrimitiveDrawCalls,渲染调试/可视化,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`DumpPrimitiveDrawCalls`（可带参数，具体见帮助说明）,Writes the draw call count of all primitives tracked by the PrimitiveDebugger to a CSV file,ECVF_Default
Editor.AsyncTextureCompilationCancelable,CVar,string,,Editor,材质,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`Editor.AsyncTextureCompilationCancelable=<值>` / `Editor.AsyncTextureCompilationCancelable <值>` 或 INI 中配置,Whether or not to allow early cancelation of textures during async compilation.,ECVF_Default
Electra.AndroidUseGpuOutputPath,CVar,int32,0,Electra,通用,Android,true,false,false,false,false,,,platform_not_current_windows,0;1,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`Electra.AndroidUseGpuOutputPath=<值>` / `Electra.AndroidUseGpuOutputPath <值>` 或 INI 中配置,Use experimental direct to GPU output path on Android.\n,ECVF_Default
FindRedundantMICS,Command,string,,FindRedundantMICS,通用,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`FindRedundantMICS`（可带参数，具体见帮助说明）,Looks at all loaded MICs and looks for redundant ones.,
foliage.DebugBuildTreeAsyncDelayInSeconds,CVar,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`foliage.DebugBuildTreeAsyncDelayInSeconds=<值>` / `foliage.DebugBuildTreeAsyncDelayInSeconds <值>` 或 INI 中配置,Adds a delay (in seconds) to BuildTreeAsync tasks for debugging,
foliage.Freeze,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`foliage.Freeze`（可带参数，具体见帮助说明）,Useful for debugging. Freezes the foliage culling and LOD.,
foliage.LogFoliageFrame,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`foliage.LogFoliageFrame`（可带参数，具体见帮助说明）,Useful for debugging. Logs all foliage rendered in a frame.,
foliage.RebuildFoliageTrees,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`foliage.RebuildFoliageTrees`（可带参数，具体见帮助说明）,Rebuild the trees for non-grass foliage.,
foliage.Test,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`foliage.Test`（可带参数，具体见帮助说明）,Useful for debugging.,
foliage.ToggleVectorCull,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`foliage.ToggleVectorCull`（可带参数，具体见帮助说明）,Useful for debugging. Toggles the optimized cull.,
foliage.UnFreeze,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,,manual_command_review,,Runtime console or user setting if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`foliage.UnFreeze`（可带参数，具体见帮助说明）,Useful for debugging. Freezes the foliage culling and LOD.,
fx.AllowFastPathFunctionLibrary,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.AllowFastPathFunctionLibrary=<值>` / `fx.AllowFastPathFunctionLibrary <值>` 或 INI 中配置,If > 0 Allow the graph to insert custom fastpath operations into the graph.\n,ECVF_Default
fx.Budget.AdjustedUsageDecayRate,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.AdjustedUsageDecayRate=<值>` / `fx.Budget.AdjustedUsageDecayRate <值>` 或 INI 中配置,Rate at which the FX budget adjusted usage value is allowed to decay. This helps prevent FX flipping off/on if the usage oscilates over the cull threshold as the FX are culled/enabled.,ECVF_Default
fx.Budget.Debug.GameThreadConcurrentTimeOverride,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.Debug.GameThreadConcurrentTimeOverride=<值>` / `fx.Budget.Debug.GameThreadConcurrentTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the GameThreadConcurrent. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Debug.GameThreadTimeOverride,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.Debug.GameThreadTimeOverride=<值>` / `fx.Budget.Debug.GameThreadTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the GameThread. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Debug.RenderThreadTimeOverride,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.Debug.RenderThreadTimeOverride=<值>` / `fx.Budget.Debug.RenderThreadTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the RenderThread. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Enabled,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.Enabled=<值>` / `fx.Budget.Enabled <值>` 或 INI 中配置,Controls whether we track global FX budgets.,ECVF_Default
fx.Budget.EnabledInEditor,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.EnabledInEditor=<值>` / `fx.Budget.EnabledInEditor <值>` 或 INI 中配置,Controls whether we track global FX budgets in editor builds.,ECVF_Default
fx.Budget.GameThread,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.GameThread=<值>` / `fx.Budget.GameThread <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs only on the gamethread. As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.Budget.GameThreadConcurrent,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.GameThreadConcurrent=<值>` / `fx.Budget.GameThreadConcurrent <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs on the gamethread or on a concurrent task spawned from the game thread. As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.Budget.RenderThread,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Budget.RenderThread=<值>` / `fx.Budget.RenderThread <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs on the Render Thread.  As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.Cascade.BeamRenderingEnabled,CVar,string,,fx,通用,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`fx.Cascade.BeamRenderingEnabled=<值>` / `fx.Cascade.BeamRenderingEnabled <值>` 或 INI 中配置,Controls if beam rendering is enabled for Cascade,ECVF_Default
